id,alignscore,method
0,0.8554679751396179,AlignScore-large
1,0.8063221573829651,AlignScore-large
2,0.8729333281517029,AlignScore-large
3,0.8386414051055908,AlignScore-large
4,0.8989609479904175,AlignScore-large
5,0.9598895311355591,AlignScore-large
6,0.9197664260864258,AlignScore-large
7,0.874259889125824,AlignScore-large
8,0.8640883564949036,AlignScore-large
9,0.9127848744392395,AlignScore-large
10,0.8277754187583923,AlignScore-large
11,0.7310116291046143,AlignScore-large
12,0.7229344248771667,AlignScore-large
13,0.7476755976676941,AlignScore-large
14,0.8009330630302429,AlignScore-large
15,0.7703741788864136,AlignScore-large
16,0.8330632448196411,AlignScore-large
17,0.7608623504638672,AlignScore-large
18,0.731203556060791,AlignScore-large
19,0.7008801102638245,AlignScore-large
20,0.9599727988243103,AlignScore-large
21,0.9105210304260254,AlignScore-large
22,0.7806717157363892,AlignScore-large
23,0.8339213132858276,AlignScore-large
24,0.7914606928825378,AlignScore-large
25,0.9135360717773438,AlignScore-large
26,0.8311266899108887,AlignScore-large
27,0.6794198155403137,AlignScore-large
28,0.8078204393386841,AlignScore-large
29,0.0004343668988440186,AlignScore-large
30,0.9221286773681641,AlignScore-large
31,0.9165334701538086,AlignScore-large
32,0.8801985383033752,AlignScore-large
33,0.7331358194351196,AlignScore-large
34,0.6239232420921326,AlignScore-large
35,0.9327163696289062,AlignScore-large
36,0.7981749176979065,AlignScore-large
37,0.7708393931388855,AlignScore-large
38,0.8049477338790894,AlignScore-large
39,0.8743672966957092,AlignScore-large
40,0.7177882790565491,AlignScore-large
41,0.8668274879455566,AlignScore-large
42,0.8388223648071289,AlignScore-large
43,0.7349652647972107,AlignScore-large
44,0.8277393579483032,AlignScore-large
45,0.9633889198303223,AlignScore-large
46,0.823971688747406,AlignScore-large
48,0.7219486832618713,AlignScore-large
49,0.9435262084007263,AlignScore-large
50,0.8993008732795715,AlignScore-large
51,0.9667885899543762,AlignScore-large
52,0.8295058608055115,AlignScore-large
53,0.9173778891563416,AlignScore-large
54,0.9006447792053223,AlignScore-large
55,0.8467292189598083,AlignScore-large
56,0.8406798839569092,AlignScore-large
57,0.5592188835144043,AlignScore-large
58,0.9793765544891357,AlignScore-large
59,0.7450066804885864,AlignScore-large
