id,alignscore,method
0,0.8071420192718506,AlignScore-large
1,0.7852789759635925,AlignScore-large
2,0.8865281939506531,AlignScore-large
3,0.734062135219574,AlignScore-large
4,0.7484821081161499,AlignScore-large
5,0.9225730895996094,AlignScore-large
6,0.8817844986915588,AlignScore-large
7,0.8173272013664246,AlignScore-large
8,0.7823893427848816,AlignScore-large
9,0.8434575796127319,AlignScore-large
10,0.7441606521606445,AlignScore-large
11,0.8900818824768066,AlignScore-large
12,0.8225021958351135,AlignScore-large
13,0.6988467574119568,AlignScore-large
14,0.8128416538238525,AlignScore-large
15,0.807551920413971,AlignScore-large
16,0.8013865947723389,AlignScore-large
17,0.7881004810333252,AlignScore-large
18,0.7748343348503113,AlignScore-large
19,0.7974366545677185,AlignScore-large
20,0.7600224018096924,AlignScore-large
21,0.8374325037002563,AlignScore-large
22,0.7374439835548401,AlignScore-large
23,0.8103021383285522,AlignScore-large
24,0.8416576981544495,AlignScore-large
25,0.890826940536499,AlignScore-large
26,0.6209926605224609,AlignScore-large
27,0.5569353699684143,AlignScore-large
28,0.7502772808074951,AlignScore-large
29,0.05383763089776039,AlignScore-large
30,0.9196670055389404,AlignScore-large
31,0.844542384147644,AlignScore-large
32,0.9363476037979126,AlignScore-large
33,0.9152106642723083,AlignScore-large
34,0.5645137429237366,AlignScore-large
35,0.9006695747375488,AlignScore-large
36,0.9259552359580994,AlignScore-large
37,0.5886002779006958,AlignScore-large
38,0.7702492475509644,AlignScore-large
39,0.7210202813148499,AlignScore-large
40,0.8902570009231567,AlignScore-large
41,0.8267444372177124,AlignScore-large
42,0.8617115020751953,AlignScore-large
43,0.696720540523529,AlignScore-large
44,0.8625704646110535,AlignScore-large
45,0.9297902584075928,AlignScore-large
46,0.7627324461936951,AlignScore-large
48,0.7392223477363586,AlignScore-large
49,0.893204391002655,AlignScore-large
50,0.679683268070221,AlignScore-large
51,0.9863086938858032,AlignScore-large
52,0.8444826006889343,AlignScore-large
53,0.7867166996002197,AlignScore-large
54,0.8429437875747681,AlignScore-large
55,0.8133895993232727,AlignScore-large
56,0.8164600133895874,AlignScore-large
57,0.7377334237098694,AlignScore-large
58,0.9259017705917358,AlignScore-large
59,0.7655568718910217,AlignScore-large
60,0.8174790143966675,AlignScore-large
61,0.9009809494018555,AlignScore-large
62,0.8470416069030762,AlignScore-large
63,0.8340747952461243,AlignScore-large
64,0.982568621635437,AlignScore-large
65,0.8728444576263428,AlignScore-large
66,0.8144981265068054,AlignScore-large
67,0.8326257467269897,AlignScore-large
