id,alignscore,method
0,0.829749345779419,AlignScore-large
1,0.8084849119186401,AlignScore-large
2,0.8837279081344604,AlignScore-large
3,0.8216277956962585,AlignScore-large
4,0.8846229910850525,AlignScore-large
5,0.9509357810020447,AlignScore-large
6,0.9549967646598816,AlignScore-large
7,0.8138007521629333,AlignScore-large
8,0.8894360065460205,AlignScore-large
9,0.9757164120674133,AlignScore-large
10,0.7970728278160095,AlignScore-large
11,0.7470040917396545,AlignScore-large
12,0.7356773614883423,AlignScore-large
13,0.8946707844734192,AlignScore-large
14,0.8064379096031189,AlignScore-large
15,0.8109489679336548,AlignScore-large
16,0.8296734690666199,AlignScore-large
17,0.6960930824279785,AlignScore-large
18,0.7551942467689514,AlignScore-large
19,0.6959535479545593,AlignScore-large
20,0.9599329829216003,AlignScore-large
21,0.8648571968078613,AlignScore-large
22,0.7805444002151489,AlignScore-large
23,0.8026570081710815,AlignScore-large
24,0.7987064123153687,AlignScore-large
25,0.922644853591919,AlignScore-large
26,0.8375676870346069,AlignScore-large
27,0.7751613855361938,AlignScore-large
28,0.8047628402709961,AlignScore-large
29,0.00042959340498782694,AlignScore-large
30,0.9279975891113281,AlignScore-large
31,0.8838311433792114,AlignScore-large
32,0.9207263588905334,AlignScore-large
33,0.8852447867393494,AlignScore-large
34,0.6350957155227661,AlignScore-large
35,0.8883200883865356,AlignScore-large
36,0.8781386017799377,AlignScore-large
37,0.7141417860984802,AlignScore-large
38,0.8028457164764404,AlignScore-large
39,0.7346551418304443,AlignScore-large
40,0.6853972673416138,AlignScore-large
41,0.871379017829895,AlignScore-large
42,0.8629536032676697,AlignScore-large
43,0.7349652647972107,AlignScore-large
44,0.9167961478233337,AlignScore-large
45,0.9474395513534546,AlignScore-large
46,0.8065376877784729,AlignScore-large
48,0.7215127348899841,AlignScore-large
49,0.9594037532806396,AlignScore-large
50,0.939368486404419,AlignScore-large
51,0.9290376901626587,AlignScore-large
52,0.8378439545631409,AlignScore-large
53,0.9166128635406494,AlignScore-large
54,0.924380898475647,AlignScore-large
55,0.807826578617096,AlignScore-large
56,0.8513628244400024,AlignScore-large
57,0.599109947681427,AlignScore-large
58,0.9794380068778992,AlignScore-large
59,0.7399521470069885,AlignScore-large
60,0.818561315536499,AlignScore-large
61,0.8561410307884216,AlignScore-large
62,0.8387141227722168,AlignScore-large
63,0.868127167224884,AlignScore-large
64,0.966525137424469,AlignScore-large
65,0.792843222618103,AlignScore-large
66,0.85382080078125,AlignScore-large
67,0.9153276085853577,AlignScore-large
68,0.7571220397949219,AlignScore-large
69,0.7800793051719666,AlignScore-large
70,0.9010105729103088,AlignScore-large
71,0.7654187679290771,AlignScore-large
72,0.8948065042495728,AlignScore-large
73,0.7419405579566956,AlignScore-large
74,0.8076642155647278,AlignScore-large
75,0.8279015421867371,AlignScore-large
76,0.8421390652656555,AlignScore-large
77,0.9270032048225403,AlignScore-large
78,0.8437960743904114,AlignScore-large
79,0.9571596384048462,AlignScore-large
80,0.8467532992362976,AlignScore-large
81,0.8512316346168518,AlignScore-large
82,0.7786819934844971,AlignScore-large
83,0.8078237175941467,AlignScore-large
84,0.8203931450843811,AlignScore-large
85,0.807564914226532,AlignScore-large
86,0.8341705203056335,AlignScore-large
87,0.9049187302589417,AlignScore-large
88,0.8883534073829651,AlignScore-large
89,0.8280642628669739,AlignScore-large
90,0.9056246876716614,AlignScore-large
91,0.9062245488166809,AlignScore-large
92,0.8374822735786438,AlignScore-large
93,0.7804770469665527,AlignScore-large
94,0.9202978014945984,AlignScore-large
95,0.8301162123680115,AlignScore-large
96,0.8482699990272522,AlignScore-large
97,0.8817803263664246,AlignScore-large
98,0.8915173411369324,AlignScore-large
99,0.8709180355072021,AlignScore-large
100,0.7825554609298706,AlignScore-large
101,0.8915635943412781,AlignScore-large
102,0.8000231981277466,AlignScore-large
103,0.7916607856750488,AlignScore-large
104,0.8932257890701294,AlignScore-large
105,0.7422224283218384,AlignScore-large
106,0.9397225379943848,AlignScore-large
107,0.8260951638221741,AlignScore-large
108,0.8447291851043701,AlignScore-large
109,0.7339297533035278,AlignScore-large
110,0.8461934328079224,AlignScore-large
111,0.6997464299201965,AlignScore-large
112,0.8300319314002991,AlignScore-large
113,0.8263691663742065,AlignScore-large
114,0.9161038398742676,AlignScore-large
115,0.9552648067474365,AlignScore-large
116,0.8269294500350952,AlignScore-large
117,0.8178209662437439,AlignScore-large
118,0.9685039520263672,AlignScore-large
119,0.9834099411964417,AlignScore-large
120,0.8867529630661011,AlignScore-large
121,0.9673069715499878,AlignScore-large
122,0.7790910601615906,AlignScore-large
123,0.45272764563560486,AlignScore-large
124,0.9544761776924133,AlignScore-large
125,0.7184277772903442,AlignScore-large
126,0.8635993599891663,AlignScore-large
127,0.8592225313186646,AlignScore-large
128,0.8557319641113281,AlignScore-large
129,0.9307637810707092,AlignScore-large
130,0.8977670669555664,AlignScore-large
131,0.7199124097824097,AlignScore-large
132,0.8830032348632812,AlignScore-large
133,0.8386341333389282,AlignScore-large
134,0.7632759809494019,AlignScore-large
135,0.9307452440261841,AlignScore-large
136,0.6816487312316895,AlignScore-large
137,0.5827199816703796,AlignScore-large
138,0.8629741072654724,AlignScore-large
139,0.7626740336418152,AlignScore-large
140,0.9212974905967712,AlignScore-large
141,0.7497225999832153,AlignScore-large
142,0.9829248189926147,AlignScore-large
143,0.7295761108398438,AlignScore-large
144,0.771586000919342,AlignScore-large
145,0.7104787826538086,AlignScore-large
146,0.7708238959312439,AlignScore-large
147,0.8412439823150635,AlignScore-large
148,0.9136773943901062,AlignScore-large
149,0.92027747631073,AlignScore-large
150,0.896240770816803,AlignScore-large
151,0.7456402778625488,AlignScore-large
152,0.8241055011749268,AlignScore-large
153,0.7912267446517944,AlignScore-large
154,0.835375189781189,AlignScore-large
155,0.8507603406906128,AlignScore-large
156,0.8846317529678345,AlignScore-large
157,0.8196536898612976,AlignScore-large
158,0.9295305013656616,AlignScore-large
159,0.864424467086792,AlignScore-large
160,0.9901101589202881,AlignScore-large
161,0.7541978359222412,AlignScore-large
162,0.8121877312660217,AlignScore-large
163,0.9800208210945129,AlignScore-large
164,0.7070531249046326,AlignScore-large
165,0.7269251346588135,AlignScore-large
166,0.8782967925071716,AlignScore-large
167,0.8123776912689209,AlignScore-large
168,0.7262300252914429,AlignScore-large
169,0.8198985457420349,AlignScore-large
170,0.7883939743041992,AlignScore-large
171,0.8010978698730469,AlignScore-large
