id,fluency,method
0,0.959988969792792,UniEval-fluency
1,0.9478983990632895,UniEval-fluency
2,0.9581290977311899,UniEval-fluency
3,0.9338670191899433,UniEval-fluency
4,0.9532350804999181,UniEval-fluency
5,0.9553746319802767,UniEval-fluency
6,0.9588377738433249,UniEval-fluency
7,0.9547713788892116,UniEval-fluency
8,0.9610008242116133,UniEval-fluency
9,0.9595242287535808,UniEval-fluency
10,0.9621417270640222,UniEval-fluency
11,0.9577105233761342,UniEval-fluency
12,0.9540543984627281,UniEval-fluency
13,0.9619866487837385,UniEval-fluency
14,0.9604939969812095,UniEval-fluency
15,0.9598712628048396,UniEval-fluency
16,0.9527186422188131,UniEval-fluency
17,0.9465098815554697,UniEval-fluency
18,0.9570740371700346,UniEval-fluency
19,0.9591696506475919,UniEval-fluency
20,0.9593223102829589,UniEval-fluency
21,0.9532510594408683,UniEval-fluency
22,0.9516117911927984,UniEval-fluency
23,0.9559322159084674,UniEval-fluency
24,0.9623700007345256,UniEval-fluency
25,0.9449254597512917,UniEval-fluency
26,0.9569639741133457,UniEval-fluency
27,0.9518149516592128,UniEval-fluency
28,0.9584810024008557,UniEval-fluency
29,0.9604039897768816,UniEval-fluency
30,0.9596918290266266,UniEval-fluency
31,0.8271096051110416,UniEval-fluency
32,0.890362230987834,UniEval-fluency
33,0.9616027924516829,UniEval-fluency
34,0.9541155388194802,UniEval-fluency
35,0.9584767535147672,UniEval-fluency
36,0.9573771821810358,UniEval-fluency
37,0.953367249409352,UniEval-fluency
38,0.9460800374328094,UniEval-fluency
39,0.9587117181883933,UniEval-fluency
40,0.9608325932239994,UniEval-fluency
41,0.9572081723589604,UniEval-fluency
42,0.9517670807103445,UniEval-fluency
43,0.9545516583747308,UniEval-fluency
44,0.9600181108096242,UniEval-fluency
45,0.9526463109083279,UniEval-fluency
46,0.9594503549669201,UniEval-fluency
48,0.9613791800119448,UniEval-fluency
49,0.9549363025182548,UniEval-fluency
50,0.9553360631520512,UniEval-fluency
51,0.9587076116711745,UniEval-fluency
52,0.9591050486586332,UniEval-fluency
53,0.874872902368884,UniEval-fluency
54,0.9606803710192677,UniEval-fluency
55,0.95372689598108,UniEval-fluency
56,0.7804231101702543,UniEval-fluency
57,0.9628680175428029,UniEval-fluency
58,0.9477808912509404,UniEval-fluency
59,0.9607789434447861,UniEval-fluency
60,0.9548293489616497,UniEval-fluency
61,0.960650690132007,UniEval-fluency
62,0.9547577389246908,UniEval-fluency
63,0.9592466073613498,UniEval-fluency
64,0.9573213999111605,UniEval-fluency
65,0.8821634596459113,UniEval-fluency
66,0.9479237036187602,UniEval-fluency
67,0.9581364045405305,UniEval-fluency
68,0.956293271212303,UniEval-fluency
69,0.9603731697900024,UniEval-fluency
70,0.957764487762621,UniEval-fluency
71,0.9404232288161471,UniEval-fluency
72,0.9535530095909696,UniEval-fluency
73,0.954146007997906,UniEval-fluency
74,0.9542623908811636,UniEval-fluency
75,0.9545838216019339,UniEval-fluency
76,0.9561442085590908,UniEval-fluency
77,0.9600412363026882,UniEval-fluency
78,0.9538231469368239,UniEval-fluency
79,0.9545902443279269,UniEval-fluency
80,0.9596677953718595,UniEval-fluency
81,0.9526683935494935,UniEval-fluency
82,0.9565787599298268,UniEval-fluency
83,0.9576228512362978,UniEval-fluency
84,0.9508521160373336,UniEval-fluency
85,0.8444071103098426,UniEval-fluency
86,0.957492270519077,UniEval-fluency
87,0.9553084295932962,UniEval-fluency
88,0.9577093674893488,UniEval-fluency
89,0.951263070908771,UniEval-fluency
90,0.9514334050973725,UniEval-fluency
91,0.9554247495725536,UniEval-fluency
92,0.9578136286729411,UniEval-fluency
93,0.9525164441881019,UniEval-fluency
94,0.9345111613421206,UniEval-fluency
95,0.9443772457518101,UniEval-fluency
96,0.9494204672150668,UniEval-fluency
97,0.958046591459056,UniEval-fluency
98,0.9576110470962377,UniEval-fluency
99,0.9556991317938347,UniEval-fluency
100,0.9556779056047671,UniEval-fluency
101,0.9597809455424693,UniEval-fluency
102,0.956679362409324,UniEval-fluency
103,0.9577145277444277,UniEval-fluency
104,0.9539221436558167,UniEval-fluency
105,0.9566687864325627,UniEval-fluency
106,0.9578817908363506,UniEval-fluency
107,0.9569139221579291,UniEval-fluency
108,0.9433156370438649,UniEval-fluency
109,0.9617441175596818,UniEval-fluency
110,0.9291391305397043,UniEval-fluency
111,0.9585390266258249,UniEval-fluency
112,0.9584262053193917,UniEval-fluency
113,0.9536628429657684,UniEval-fluency
114,0.9581682765194008,UniEval-fluency
115,0.9577179073005565,UniEval-fluency
116,0.956359367553766,UniEval-fluency
117,0.9597158496581494,UniEval-fluency
118,0.9567878551315826,UniEval-fluency
119,0.9133421820874078,UniEval-fluency
120,0.9604534141582456,UniEval-fluency
121,0.9547727402044196,UniEval-fluency
122,0.9600830755085145,UniEval-fluency
123,0.9614852165803391,UniEval-fluency
124,0.9526415377190788,UniEval-fluency
125,0.8585149311463891,UniEval-fluency
126,0.9588851812829968,UniEval-fluency
127,0.9565815707552647,UniEval-fluency
128,0.9573031370008164,UniEval-fluency
129,0.9606806208386557,UniEval-fluency
130,0.9549956904861153,UniEval-fluency
131,0.9544535315129511,UniEval-fluency
132,0.9560536118587372,UniEval-fluency
133,0.9584631870038033,UniEval-fluency
134,0.9568871916246952,UniEval-fluency
135,0.9423549129685476,UniEval-fluency
136,0.958696116923279,UniEval-fluency
137,0.8743172026236071,UniEval-fluency
138,0.9494428506155626,UniEval-fluency
139,0.9556005001603156,UniEval-fluency
140,0.9445552398504659,UniEval-fluency
141,0.9539761673923761,UniEval-fluency
142,0.9632238823609611,UniEval-fluency
143,0.955212252768564,UniEval-fluency
144,0.9605180790151754,UniEval-fluency
145,0.9546736920032322,UniEval-fluency
146,0.8765587757452403,UniEval-fluency
147,0.9564046200323162,UniEval-fluency
148,0.9536451986173711,UniEval-fluency
149,0.9535661552397519,UniEval-fluency
150,0.8802479801280687,UniEval-fluency
151,0.8050745593756999,UniEval-fluency
152,0.9073812311616021,UniEval-fluency
153,0.9461235672212848,UniEval-fluency
154,0.9536090723444877,UniEval-fluency
155,0.95659698970189,UniEval-fluency
156,0.9573238292115024,UniEval-fluency
157,0.9588425383351217,UniEval-fluency
158,0.9602678643824789,UniEval-fluency
159,0.9608403660705624,UniEval-fluency
160,0.8041258473174037,UniEval-fluency
161,0.9591033032065912,UniEval-fluency
162,0.9547872083524251,UniEval-fluency
163,0.9567983380488793,UniEval-fluency
164,0.9198256305896516,UniEval-fluency
165,0.9602074961019738,UniEval-fluency
166,0.9635855279708975,UniEval-fluency
167,0.9590571005393517,UniEval-fluency
168,0.8977944605631737,UniEval-fluency
169,0.9015820772701719,UniEval-fluency
170,0.9548631208632172,UniEval-fluency
171,0.8066217409875199,UniEval-fluency
172,0.8590180374708115,UniEval-fluency
