id,fluency,method
0,0.9590265283136453,UniEval-fluency
1,0.9574097478684865,UniEval-fluency
2,0.9450074708720116,UniEval-fluency
3,0.9510223214812916,UniEval-fluency
4,0.9419453563453796,UniEval-fluency
5,0.9516518125902361,UniEval-fluency
6,0.9630035085289114,UniEval-fluency
7,0.9619357267878443,UniEval-fluency
8,0.953808677986954,UniEval-fluency
9,0.9578531464034302,UniEval-fluency
10,0.9620598336180005,UniEval-fluency
11,0.956786170933962,UniEval-fluency
12,0.9572511985389865,UniEval-fluency
13,0.9591162366268435,UniEval-fluency
14,0.9621101394874536,UniEval-fluency
15,0.9635068595977478,UniEval-fluency
16,0.9522274575485863,UniEval-fluency
17,0.9547247538209487,UniEval-fluency
18,0.9583209695733866,UniEval-fluency
19,0.9602121227989183,UniEval-fluency
20,0.9580663564231341,UniEval-fluency
21,0.9341475717141843,UniEval-fluency
22,0.9422955110383636,UniEval-fluency
23,0.9546657621427685,UniEval-fluency
24,0.9612343032193505,UniEval-fluency
25,0.9551437591085329,UniEval-fluency
26,0.9571956116095103,UniEval-fluency
27,0.9583761733748019,UniEval-fluency
28,0.9559225657836657,UniEval-fluency
29,0.95857800084297,UniEval-fluency
30,0.9607477766472201,UniEval-fluency
31,0.9595205884323702,UniEval-fluency
32,0.95775627535521,UniEval-fluency
33,0.961343948517682,UniEval-fluency
34,0.9587014555389917,UniEval-fluency
35,0.9583189542364406,UniEval-fluency
36,0.96349382175942,UniEval-fluency
37,0.9598217928849235,UniEval-fluency
38,0.961827362573418,UniEval-fluency
39,0.9612055658735998,UniEval-fluency
40,0.9610232549870026,UniEval-fluency
41,0.9591218178599522,UniEval-fluency
42,0.9497919751387691,UniEval-fluency
43,0.9520391670633525,UniEval-fluency
44,0.9587484398261561,UniEval-fluency
45,0.953182903310741,UniEval-fluency
46,0.95742057435398,UniEval-fluency
48,0.9609409558407257,UniEval-fluency
49,0.9572485878019495,UniEval-fluency
50,0.9530345401623047,UniEval-fluency
51,0.9597267101269622,UniEval-fluency
52,0.9601680557913221,UniEval-fluency
53,0.9563113249683374,UniEval-fluency
54,0.9599328929159698,UniEval-fluency
55,0.8911191612065218,UniEval-fluency
56,0.7855034185746423,UniEval-fluency
57,0.9291742112053967,UniEval-fluency
58,0.9591243798046682,UniEval-fluency
59,0.9614558637221019,UniEval-fluency
60,0.952713258185742,UniEval-fluency
61,0.96142933249974,UniEval-fluency
62,0.9572674409978336,UniEval-fluency
63,0.9574833967456531,UniEval-fluency
64,0.9476213725998291,UniEval-fluency
65,0.8325672055591985,UniEval-fluency
66,0.9530560510471631,UniEval-fluency
67,0.9601236140405512,UniEval-fluency
68,0.9577391791041651,UniEval-fluency
69,0.9598297734755631,UniEval-fluency
70,0.9548503639586957,UniEval-fluency
71,0.9497785879471222,UniEval-fluency
72,0.9522533258278276,UniEval-fluency
73,0.9569319752112676,UniEval-fluency
74,0.9556638926262172,UniEval-fluency
75,0.9532285092961851,UniEval-fluency
76,0.9630187374085248,UniEval-fluency
77,0.9599779924711874,UniEval-fluency
78,0.9506339882643762,UniEval-fluency
79,0.954729443543171,UniEval-fluency
80,0.9613596013888042,UniEval-fluency
81,0.899032062682701,UniEval-fluency
82,0.9560846980898403,UniEval-fluency
83,0.9586371409766374,UniEval-fluency
84,0.9611526757297063,UniEval-fluency
85,0.949353686452122,UniEval-fluency
86,0.9624708105132128,UniEval-fluency
87,0.9566724445887818,UniEval-fluency
88,0.9596939496100373,UniEval-fluency
89,0.9558158742470846,UniEval-fluency
90,0.9622426526034641,UniEval-fluency
91,0.9538550320379999,UniEval-fluency
92,0.9648844838250099,UniEval-fluency
93,0.9574864676043965,UniEval-fluency
94,0.9612492605627342,UniEval-fluency
95,0.9609400589226845,UniEval-fluency
96,0.9568616656902468,UniEval-fluency
97,0.9528088170217044,UniEval-fluency
98,0.9564961245008129,UniEval-fluency
99,0.9540305418848138,UniEval-fluency
100,0.9564465978193385,UniEval-fluency
101,0.9542326468462917,UniEval-fluency
102,0.9536321798626705,UniEval-fluency
103,0.9587630860866064,UniEval-fluency
104,0.8912345266709104,UniEval-fluency
105,0.9569180302742261,UniEval-fluency
106,0.9530828926559329,UniEval-fluency
107,0.9580574161421921,UniEval-fluency
108,0.9594958136398776,UniEval-fluency
109,0.9528615405257479,UniEval-fluency
110,0.9539723524074958,UniEval-fluency
111,0.9515120551252427,UniEval-fluency
112,0.957696222310239,UniEval-fluency
113,0.9612904651353479,UniEval-fluency
114,0.9625384934230263,UniEval-fluency
115,0.9579571482893493,UniEval-fluency
116,0.953182868680031,UniEval-fluency
117,0.9542737710147552,UniEval-fluency
118,0.9594959444727452,UniEval-fluency
119,0.9547323261270865,UniEval-fluency
120,0.961663192493132,UniEval-fluency
121,0.9476320071841369,UniEval-fluency
122,0.9566170986887169,UniEval-fluency
123,0.9596230697916729,UniEval-fluency
124,0.9626945491604209,UniEval-fluency
125,0.856437122323172,UniEval-fluency
126,0.9582845200233174,UniEval-fluency
127,0.9576974278054333,UniEval-fluency
128,0.9568286185547549,UniEval-fluency
129,0.9619822491338419,UniEval-fluency
130,0.9535984759963312,UniEval-fluency
131,0.9596709433086374,UniEval-fluency
132,0.9494725051703954,UniEval-fluency
133,0.9567036492742463,UniEval-fluency
134,0.958101094967197,UniEval-fluency
135,0.9608803677426955,UniEval-fluency
136,0.9605628743277876,UniEval-fluency
137,0.8826518049174485,UniEval-fluency
138,0.9552424045511664,UniEval-fluency
139,0.9631848232976635,UniEval-fluency
140,0.959904548079896,UniEval-fluency
141,0.9523981416962576,UniEval-fluency
142,0.9640398324250778,UniEval-fluency
143,0.955486960309036,UniEval-fluency
144,0.9643741986970319,UniEval-fluency
145,0.9559165005489346,UniEval-fluency
146,0.8580030738660374,UniEval-fluency
147,0.8365171037893852,UniEval-fluency
148,0.9536438947970274,UniEval-fluency
149,0.9577169474563851,UniEval-fluency
150,0.9577680846665082,UniEval-fluency
151,0.8346552688923846,UniEval-fluency
152,0.9448605196966559,UniEval-fluency
153,0.8589904851788424,UniEval-fluency
154,0.9558306835396119,UniEval-fluency
155,0.9612021331496928,UniEval-fluency
156,0.9580855876321972,UniEval-fluency
157,0.9604882959677752,UniEval-fluency
158,0.9600837657754354,UniEval-fluency
159,0.9602800671029061,UniEval-fluency
160,0.9584467216691496,UniEval-fluency
161,0.958862630028187,UniEval-fluency
162,0.952697704182085,UniEval-fluency
163,0.9591694900715245,UniEval-fluency
164,0.9551280117940191,UniEval-fluency
165,0.9604393425740648,UniEval-fluency
166,0.959987921368249,UniEval-fluency
167,0.9582539960018986,UniEval-fluency
168,0.9579374516706184,UniEval-fluency
169,0.966062892153381,UniEval-fluency
170,0.9592356600037203,UniEval-fluency
171,0.9605501712258585,UniEval-fluency
172,0.9576722580283499,UniEval-fluency
173,0.9587238298266073,UniEval-fluency
174,0.9577605942546421,UniEval-fluency
175,0.9584427840909595,UniEval-fluency
176,0.9579497642615797,UniEval-fluency
177,0.952832096581203,UniEval-fluency
178,0.9624000493345779,UniEval-fluency
179,0.9527220614910087,UniEval-fluency
180,0.9589713830430048,UniEval-fluency
181,0.956216464558893,UniEval-fluency
182,0.9603812082912544,UniEval-fluency
183,0.9603963205498147,UniEval-fluency
184,0.9567643402798978,UniEval-fluency
185,0.9668906312449098,UniEval-fluency
186,0.9465060900230744,UniEval-fluency
187,0.957394614777457,UniEval-fluency
188,0.9456207502743327,UniEval-fluency
189,0.8785556475906033,UniEval-fluency
190,0.9592553811588806,UniEval-fluency
191,0.9542608243367035,UniEval-fluency
192,0.9617738496433001,UniEval-fluency
193,0.9237452339620714,UniEval-fluency
194,0.9513729880051208,UniEval-fluency
195,0.9561066677590172,UniEval-fluency
196,0.9570163272123634,UniEval-fluency
197,0.9557443370969215,UniEval-fluency
198,0.9548931422563116,UniEval-fluency
199,0.960304429896213,UniEval-fluency
200,0.9494606595079382,UniEval-fluency
201,0.9620882180992253,UniEval-fluency
202,0.9572996739376647,UniEval-fluency
203,0.8417518930326384,UniEval-fluency
204,0.9624701546053458,UniEval-fluency
205,0.9585240426176195,UniEval-fluency
