id,fluency,method
0,0.9593038791401415,UniEval-fluency
1,0.9485693917477183,UniEval-fluency
2,0.9332066708029974,UniEval-fluency
3,0.9325974652748176,UniEval-fluency
4,0.9476881087390472,UniEval-fluency
5,0.9529228159573323,UniEval-fluency
6,0.9588915176987013,UniEval-fluency
7,0.956903928929709,UniEval-fluency
8,0.9600848550243618,UniEval-fluency
9,0.9560528667510559,UniEval-fluency
10,0.9613090849489446,UniEval-fluency
11,0.9572298809942197,UniEval-fluency
12,0.9430484719904393,UniEval-fluency
13,0.9618356053635048,UniEval-fluency
14,0.9587859522270008,UniEval-fluency
15,0.9485569103845931,UniEval-fluency
16,0.9521323400671716,UniEval-fluency
17,0.9509928652575728,UniEval-fluency
18,0.9572150938433293,UniEval-fluency
19,0.9592957848697866,UniEval-fluency
20,0.9585290677160201,UniEval-fluency
21,0.9563684772619567,UniEval-fluency
22,0.9557578675452175,UniEval-fluency
23,0.9571086916558816,UniEval-fluency
24,0.8659761118729764,UniEval-fluency
25,0.9137410284797218,UniEval-fluency
26,0.9565538458175362,UniEval-fluency
27,0.950133205690806,UniEval-fluency
28,0.9584790275460566,UniEval-fluency
29,0.9634061862310483,UniEval-fluency
30,0.9596666126523022,UniEval-fluency
31,0.8284882178811681,UniEval-fluency
32,0.9532526117851557,UniEval-fluency
33,0.9596614852665836,UniEval-fluency
34,0.9380422132894001,UniEval-fluency
35,0.955522556658787,UniEval-fluency
36,0.9578623606081086,UniEval-fluency
37,0.9468827014965211,UniEval-fluency
38,0.9605516785481059,UniEval-fluency
39,0.9581794007689255,UniEval-fluency
40,0.9602034703691185,UniEval-fluency
41,0.9565512568148539,UniEval-fluency
42,0.9529762803282669,UniEval-fluency
43,0.9545516500923235,UniEval-fluency
44,0.9599287628713008,UniEval-fluency
45,0.9270637414820279,UniEval-fluency
46,0.9564430647046235,UniEval-fluency
48,0.9624309364577702,UniEval-fluency
49,0.9593186557081714,UniEval-fluency
50,0.9563006722745578,UniEval-fluency
51,0.9587445172803484,UniEval-fluency
52,0.9593595175788684,UniEval-fluency
53,0.859124375498961,UniEval-fluency
54,0.9562054462498576,UniEval-fluency
55,0.9538173827596699,UniEval-fluency
56,0.7716035202762102,UniEval-fluency
57,0.9622545598969632,UniEval-fluency
58,0.9431513718031567,UniEval-fluency
59,0.9582704419824195,UniEval-fluency
60,0.9574950406899083,UniEval-fluency
61,0.9572923372109379,UniEval-fluency
62,0.9560086126389971,UniEval-fluency
63,0.9596914375107547,UniEval-fluency
64,0.9572948867222656,UniEval-fluency
65,0.9066085306206172,UniEval-fluency
66,0.9500404606169163,UniEval-fluency
67,0.9581612019487865,UniEval-fluency
68,0.9572398748986427,UniEval-fluency
69,0.9597002406899555,UniEval-fluency
70,0.9619243325015415,UniEval-fluency
71,0.9533173992805752,UniEval-fluency
72,0.9557302119785078,UniEval-fluency
73,0.9542073013266766,UniEval-fluency
74,0.955467336442079,UniEval-fluency
75,0.8997260113346892,UniEval-fluency
76,0.9538729552605024,UniEval-fluency
77,0.9606462684649754,UniEval-fluency
78,0.9529022517770983,UniEval-fluency
79,0.950750141728689,UniEval-fluency
80,0.9615981615731415,UniEval-fluency
81,0.9551131381767829,UniEval-fluency
82,0.9582247978191816,UniEval-fluency
83,0.957440600985595,UniEval-fluency
84,0.941792924623552,UniEval-fluency
85,0.8448874767151329,UniEval-fluency
86,0.9569810755094154,UniEval-fluency
87,0.9549168990778009,UniEval-fluency
88,0.9175767637657234,UniEval-fluency
89,0.9515273577942757,UniEval-fluency
90,0.9375841784379958,UniEval-fluency
91,0.9483326703848397,UniEval-fluency
92,0.9587036101030385,UniEval-fluency
93,0.9526344491704563,UniEval-fluency
94,0.9346469631228109,UniEval-fluency
95,0.9155825995405233,UniEval-fluency
96,0.9502470763431369,UniEval-fluency
97,0.9580857197891759,UniEval-fluency
98,0.9575037871943565,UniEval-fluency
99,0.9540928012385747,UniEval-fluency
100,0.95810083897954,UniEval-fluency
101,0.9568097973439101,UniEval-fluency
102,0.95707108070301,UniEval-fluency
103,0.9395085567359613,UniEval-fluency
104,0.8963144053913384,UniEval-fluency
105,0.9565255743071298,UniEval-fluency
106,0.9570606653428835,UniEval-fluency
107,0.9578398597895661,UniEval-fluency
108,0.9427462222813017,UniEval-fluency
109,0.9616003510136689,UniEval-fluency
110,0.9246338743423875,UniEval-fluency
111,0.9579413236405079,UniEval-fluency
112,0.9593004196314359,UniEval-fluency
113,0.9476570724484744,UniEval-fluency
114,0.9598162983899747,UniEval-fluency
115,0.9609241398523246,UniEval-fluency
116,0.9562236777106211,UniEval-fluency
117,0.9583805490903109,UniEval-fluency
118,0.9563843819701077,UniEval-fluency
119,0.9147242123105493,UniEval-fluency
120,0.9602931812173087,UniEval-fluency
121,0.9042912499083127,UniEval-fluency
