id,alignscore,method
0,0.7553112506866455,AlignScore-large
1,0.8123754262924194,AlignScore-large
2,0.8900532126426697,AlignScore-large
3,0.7649826407432556,AlignScore-large
4,0.7240505218505859,AlignScore-large
5,0.9295071959495544,AlignScore-large
6,0.8088182210922241,AlignScore-large
7,0.8504703044891357,AlignScore-large
8,0.7966737747192383,AlignScore-large
9,0.9164307713508606,AlignScore-large
10,0.782749354839325,AlignScore-large
11,0.8826271891593933,AlignScore-large
12,0.8163068294525146,AlignScore-large
13,0.6634823083877563,AlignScore-large
14,0.7599844336509705,AlignScore-large
15,0.8862419128417969,AlignScore-large
16,0.8268645405769348,AlignScore-large
17,0.765964150428772,AlignScore-large
18,0.7735409140586853,AlignScore-large
19,0.802607536315918,AlignScore-large
20,0.902999222278595,AlignScore-large
21,0.8422557711601257,AlignScore-large
22,0.68064945936203,AlignScore-large
23,0.8167566061019897,AlignScore-large
24,0.8363304734230042,AlignScore-large
25,0.8749710917472839,AlignScore-large
26,0.6179525256156921,AlignScore-large
27,0.6344035863876343,AlignScore-large
28,0.7546358108520508,AlignScore-large
29,0.07165340334177017,AlignScore-large
30,0.9289417266845703,AlignScore-large
31,0.854901909828186,AlignScore-large
32,0.9454678297042847,AlignScore-large
33,0.9760302901268005,AlignScore-large
34,0.5399795174598694,AlignScore-large
35,0.9254767298698425,AlignScore-large
36,0.926637589931488,AlignScore-large
37,0.6749938726425171,AlignScore-large
38,0.7222198843955994,AlignScore-large
39,0.6878965497016907,AlignScore-large
40,0.8618615865707397,AlignScore-large
41,0.8263781666755676,AlignScore-large
42,0.8979994058609009,AlignScore-large
43,0.6967206001281738,AlignScore-large
44,0.7842445969581604,AlignScore-large
45,0.9056683778762817,AlignScore-large
46,0.7452552318572998,AlignScore-large
48,0.643936038017273,AlignScore-large
49,0.9004939794540405,AlignScore-large
50,0.60663241147995,AlignScore-large
51,0.9863603115081787,AlignScore-large
52,0.8547142148017883,AlignScore-large
53,0.8012733459472656,AlignScore-large
54,0.8499746322631836,AlignScore-large
55,0.8763280510902405,AlignScore-large
56,0.8019425272941589,AlignScore-large
57,0.7110602259635925,AlignScore-large
58,0.9242884516716003,AlignScore-large
59,0.7895019054412842,AlignScore-large
60,0.7935875058174133,AlignScore-large
61,0.9206365942955017,AlignScore-large
62,0.8468438982963562,AlignScore-large
63,0.862727701663971,AlignScore-large
64,0.9809137582778931,AlignScore-large
65,0.8511369228363037,AlignScore-large
66,0.8301617503166199,AlignScore-large
67,0.8357415795326233,AlignScore-large
68,0.6801166534423828,AlignScore-large
69,0.7261991500854492,AlignScore-large
70,0.9082679152488708,AlignScore-large
71,0.6176084876060486,AlignScore-large
72,0.8920549154281616,AlignScore-large
73,0.8773548603057861,AlignScore-large
74,0.7441682815551758,AlignScore-large
75,0.9414198994636536,AlignScore-large
76,0.8231381773948669,AlignScore-large
77,0.816497802734375,AlignScore-large
78,0.7402108311653137,AlignScore-large
79,0.904396653175354,AlignScore-large
80,0.9378221035003662,AlignScore-large
81,0.8777779936790466,AlignScore-large
82,0.7089542150497437,AlignScore-large
83,0.7797003984451294,AlignScore-large
84,0.786564290523529,AlignScore-large
85,0.8015866279602051,AlignScore-large
86,0.8930737376213074,AlignScore-large
87,0.7728514671325684,AlignScore-large
88,0.7893519997596741,AlignScore-large
89,0.9386692047119141,AlignScore-large
90,0.8496696949005127,AlignScore-large
91,0.9012596607208252,AlignScore-large
92,0.8286388516426086,AlignScore-large
93,0.9729739427566528,AlignScore-large
94,0.795671820640564,AlignScore-large
95,0.8941066861152649,AlignScore-large
96,0.7648584842681885,AlignScore-large
97,0.7462548017501831,AlignScore-large
98,0.7725698351860046,AlignScore-large
99,0.8755667805671692,AlignScore-large
100,0.8167532086372375,AlignScore-large
101,0.7733060121536255,AlignScore-large
102,0.775596559047699,AlignScore-large
103,0.8698552846908569,AlignScore-large
104,0.894848644733429,AlignScore-large
105,0.9726855754852295,AlignScore-large
106,0.9506815671920776,AlignScore-large
107,0.8837893605232239,AlignScore-large
108,0.854374349117279,AlignScore-large
