id,alignscore,method
0,0.7921801209449768,AlignScore-large
1,0.8208320736885071,AlignScore-large
2,0.8758339881896973,AlignScore-large
3,0.7191817760467529,AlignScore-large
4,0.6633673310279846,AlignScore-large
5,0.8973206281661987,AlignScore-large
6,0.844955563545227,AlignScore-large
7,0.8185571432113647,AlignScore-large
8,0.7960772514343262,AlignScore-large
9,0.8426567912101746,AlignScore-large
10,0.7616837620735168,AlignScore-large
11,0.903066098690033,AlignScore-large
12,0.8435213565826416,AlignScore-large
13,0.6985606551170349,AlignScore-large
14,0.8085518479347229,AlignScore-large
15,0.8106580376625061,AlignScore-large
16,0.7954843044281006,AlignScore-large
17,0.7953684329986572,AlignScore-large
18,0.7809656858444214,AlignScore-large
19,0.7942224740982056,AlignScore-large
20,0.8726506233215332,AlignScore-large
21,0.7962771654129028,AlignScore-large
22,0.7381865978240967,AlignScore-large
23,0.8036576509475708,AlignScore-large
24,0.8511757850646973,AlignScore-large
25,0.8869989514350891,AlignScore-large
26,0.6182215213775635,AlignScore-large
27,0.7778031229972839,AlignScore-large
28,0.73435378074646,AlignScore-large
29,0.044127676635980606,AlignScore-large
30,0.9377413988113403,AlignScore-large
31,0.8467669486999512,AlignScore-large
32,0.897627055644989,AlignScore-large
33,0.8112310767173767,AlignScore-large
34,0.6466072201728821,AlignScore-large
35,0.9481626152992249,AlignScore-large
36,0.9052547812461853,AlignScore-large
37,0.6267643570899963,AlignScore-large
38,0.8095114827156067,AlignScore-large
39,0.7166776061058044,AlignScore-large
40,0.8905735611915588,AlignScore-large
41,0.8560282588005066,AlignScore-large
42,0.8503316044807434,AlignScore-large
43,0.696720540523529,AlignScore-large
44,0.8576419949531555,AlignScore-large
45,0.9573540687561035,AlignScore-large
46,0.805406928062439,AlignScore-large
48,0.7352676391601562,AlignScore-large
49,0.8523946404457092,AlignScore-large
50,0.7717790603637695,AlignScore-large
51,0.9860774874687195,AlignScore-large
52,0.8346726894378662,AlignScore-large
53,0.7286375761032104,AlignScore-large
54,0.8337456583976746,AlignScore-large
55,0.8718870878219604,AlignScore-large
56,0.8135040402412415,AlignScore-large
57,0.7363594174385071,AlignScore-large
58,0.8682522177696228,AlignScore-large
59,0.7665059566497803,AlignScore-large
60,0.908489465713501,AlignScore-large
61,0.9224415421485901,AlignScore-large
62,0.8489850759506226,AlignScore-large
63,0.765637993812561,AlignScore-large
64,0.9808748364448547,AlignScore-large
65,0.8748298287391663,AlignScore-large
66,0.8225874304771423,AlignScore-large
67,0.7984182834625244,AlignScore-large
68,0.6627558469772339,AlignScore-large
69,0.7530490756034851,AlignScore-large
70,0.8149755001068115,AlignScore-large
71,0.599419355392456,AlignScore-large
72,0.8579427003860474,AlignScore-large
73,0.8509016036987305,AlignScore-large
74,0.7401134967803955,AlignScore-large
75,0.9204868674278259,AlignScore-large
76,0.7906784415245056,AlignScore-large
77,0.9000320434570312,AlignScore-large
78,0.7247097492218018,AlignScore-large
79,0.9431442022323608,AlignScore-large
80,0.9269002676010132,AlignScore-large
81,0.8622850775718689,AlignScore-large
82,0.8170350790023804,AlignScore-large
83,0.8272141814231873,AlignScore-large
84,0.8370482921600342,AlignScore-large
