id,bartscore_sum2doc,bartscore_doc2sum
0,-6.837904453277588,-3.640631675720215
1,-7.58030366897583,-3.5579028129577637
2,-6.364437580108643,-3.761350631713867
3,-6.776119232177734,-3.6923768520355225
4,-6.360712051391602,-3.7355520725250244
5,-6.631524085998535,-3.4062297344207764
6,-6.56954288482666,-3.5850446224212646
7,-6.715963840484619,-3.4630916118621826
8,-6.691906929016113,-3.6149656772613525
9,-6.479804515838623,-3.5367326736450195
10,-6.417181015014648,-3.5062100887298584
11,-7.372922420501709,-3.7950665950775146
12,-6.8165435791015625,-3.506899356842041
13,-6.49812650680542,-3.6211671829223633
14,-6.511041641235352,-3.2537083625793457
15,-6.973664283752441,-3.6331088542938232
16,-6.583583831787109,-3.777362823486328
17,-5.971967697143555,-3.20692777633667
18,-6.5418009757995605,-4.034243106842041
19,-6.721955299377441,-3.1411056518554688
20,-6.38332462310791,-3.8375706672668457
21,-6.7007155418396,-4.107390403747559
22,-6.325479030609131,-3.7956204414367676
23,-6.859684944152832,-3.2092621326446533
24,-5.967777252197266,-3.953927755355835
25,-6.223057270050049,-3.764516830444336
26,-5.952727794647217,-3.800194025039673
27,-6.429013729095459,-3.7689146995544434
28,-6.2233123779296875,-3.205993890762329
29,-6.885923385620117,-3.575526237487793
30,-7.1125407218933105,-3.9963901042938232
31,-5.85575532913208,-3.45674729347229
32,-5.992291450500488,-3.7336461544036865
33,-6.299750804901123,-3.8258299827575684
34,-6.003046989440918,-3.757556915283203
35,-6.808244705200195,-3.5009942054748535
36,-7.041756629943848,-3.8341615200042725
37,-6.780091762542725,-3.4732348918914795
38,-6.7968549728393555,-3.622210741043091
39,-6.455169200897217,-3.708543062210083
40,-6.537740707397461,-3.6442160606384277
41,-6.89919376373291,-3.2657783031463623
42,-6.670283317565918,-3.542884349822998
43,-7.1084980964660645,-3.6060776710510254
44,-6.838004112243652,-3.584007978439331
45,-6.558629512786865,-3.971459150314331
46,-6.203194618225098,-3.7307934761047363
48,-6.807021141052246,-3.5950636863708496
49,-6.5892791748046875,-3.4657366275787354
50,-7.04244327545166,-3.3902597427368164
51,-6.186378002166748,-3.9892287254333496
52,-6.951926231384277,-3.545952081680298
53,-6.573592185974121,-3.875095844268799
54,-7.024105072021484,-3.4629099369049072
55,-6.292999744415283,-3.717435836791992
56,-6.404999256134033,-3.5048532485961914
57,-7.0985107421875,-3.367811918258667
58,-5.764438629150391,-3.7203738689422607
59,-6.4588189125061035,-3.656860828399658
60,-5.946709632873535,-3.6841976642608643
61,-6.150768756866455,-4.007911205291748
62,-6.602209091186523,-3.6803598403930664
63,-6.217837333679199,-3.3933050632476807
64,-6.6875386238098145,-3.595197916030884
65,-6.05619478225708,-3.834134101867676
66,-8.261858940124512,-3.7359979152679443
67,-6.192483901977539,-3.5286076068878174
68,-6.386161804199219,-3.9695866107940674
69,-5.7881388664245605,-3.4336025714874268
70,-6.63546085357666,-3.4107439517974854
71,-6.935328483581543,-3.225764751434326
72,-6.646946907043457,-4.105234146118164
73,-6.656164646148682,-3.6556954383850098
74,-6.639752388000488,-3.596709966659546
75,-6.582997798919678,-3.7657809257507324
76,-7.4003801345825195,-3.8740909099578857
77,-6.835898399353027,-3.8529067039489746
78,-6.713835716247559,-3.8797762393951416
79,-6.543100357055664,-3.8188793659210205
80,-7.002438068389893,-3.3877265453338623
81,-6.717763900756836,-3.538300037384033
82,-6.551613807678223,-3.5004546642303467
83,-5.994948863983154,-4.144352912902832
84,-6.451001167297363,-3.6203296184539795
85,-6.494658470153809,-3.5940964221954346
86,-6.513362884521484,-3.686934471130371
87,-6.459693431854248,-3.5146753787994385
88,-6.287607192993164,-3.66452693939209
89,-6.007636070251465,-3.7593162059783936
90,-6.805747985839844,-3.5697498321533203
91,-6.522475719451904,-4.027886390686035
92,-7.035515785217285,-4.114979267120361
93,-6.1916022300720215,-3.469332218170166
94,-6.445139408111572,-3.988042116165161
95,-6.347972393035889,-3.5287628173828125
96,-6.679842948913574,-3.225215196609497
97,-6.003828525543213,-3.501039981842041
98,-6.522298336029053,-3.580674648284912
99,-6.421769142150879,-3.901737689971924
100,-6.5850958824157715,-4.022525787353516
101,-6.797473430633545,-3.869974374771118
102,-6.851442813873291,-3.356884479522705
103,-6.911598205566406,-3.8578670024871826
104,-6.179627895355225,-3.2530763149261475
105,-6.8707356452941895,-3.4297616481781006
106,-6.5835041999816895,-3.647312879562378
107,-6.507045269012451,-3.651215076446533
108,-6.804405212402344,-4.102627754211426
109,-6.502567291259766,-3.634448766708374
110,-6.347794532775879,-3.700913667678833
111,-6.733885765075684,-3.7767422199249268
112,-6.812750339508057,-3.486125946044922
113,-6.6244611740112305,-3.8231475353240967
114,-6.598142623901367,-3.8864948749542236
115,-6.600975513458252,-3.4076414108276367
116,-6.1704487800598145,-3.7108638286590576
117,-6.7494001388549805,-3.5580801963806152
118,-6.77593994140625,-3.485280752182007
119,-6.840092658996582,-3.7978427410125732
120,-6.867187976837158,-3.8543384075164795
121,-6.972232818603516,-4.002579689025879
122,-6.9568562507629395,-3.404223918914795
123,-6.519970893859863,-2.878736972808838
124,-6.908144950866699,-4.317255020141602
125,-6.97605037689209,-3.27483868598938
126,-6.43775749206543,-3.7213759422302246
127,-6.666018009185791,-3.9432196617126465
128,-6.6844892501831055,-3.41920804977417
129,-6.7736053466796875,-3.5599610805511475
130,-7.208146095275879,-3.5129592418670654
131,-6.329897403717041,-3.504443883895874
132,-6.300184726715088,-3.718987464904785
133,-6.535290718078613,-3.498084545135498
134,-6.559767723083496,-3.591643810272217
135,-7.244039535522461,-3.5891001224517822
136,-7.129339694976807,-3.645443916320801
137,-6.409553050994873,-3.462902307510376
138,-6.504118919372559,-3.7316715717315674
139,-6.961864471435547,-3.887211322784424
140,-7.014730930328369,-4.0586137771606445
141,-7.123857498168945,-3.986488103866577
142,-6.725786209106445,-3.9547412395477295
143,-6.598388195037842,-3.598806858062744
144,-6.253199577331543,-3.2889859676361084
145,-6.632443428039551,-3.639012336730957
146,-7.027153968811035,-3.940962791442871
147,-7.162409782409668,-3.7256364822387695
148,-7.047560691833496,-4.26792049407959
149,-6.361090660095215,-3.5445518493652344
150,-7.169336795806885,-3.7207086086273193
151,-6.580239772796631,-3.29154634475708
152,-6.715427398681641,-3.719992160797119
153,-6.880185127258301,-3.5941154956817627
154,-6.313356876373291,-3.5818498134613037
155,-6.7014851570129395,-3.058586835861206
156,-6.357940673828125,-3.444117546081543
157,-6.87514591217041,-3.3587779998779297
158,-7.128549575805664,-3.823322057723999
159,-6.540916442871094,-3.1588573455810547
160,-6.0596923828125,-3.6748666763305664
161,-6.475213050842285,-3.6237452030181885
162,-6.678189754486084,-4.180823802947998
163,-6.370606422424316,-3.339401960372925
164,-6.096343040466309,-3.523674249649048
165,-6.631936073303223,-3.7737467288970947
166,-6.174978256225586,-3.5640690326690674
167,-7.17680025100708,-3.616739511489868
168,-5.484647274017334,-3.458528995513916
169,-6.841209888458252,-3.7793610095977783
170,-6.092641830444336,-4.062679290771484
171,-6.3945722579956055,-3.460728883743286
172,-6.2543745040893555,-3.3661749362945557
173,-6.537349700927734,-3.695505380630493
174,-6.164186954498291,-3.432079792022705
175,-7.158224105834961,-3.7401230335235596
176,-6.593923091888428,-3.6229395866394043
177,-6.249660015106201,-4.211543560028076
178,-7.036991119384766,-3.205625057220459
179,-6.51663875579834,-3.7356314659118652
180,-5.743046760559082,-3.705219268798828
181,-6.478991508483887,-3.6173923015594482
182,-6.0665364265441895,-3.4113025665283203
183,-6.759081840515137,-3.2407643795013428
184,-7.0051164627075195,-3.599398136138916
185,-6.356865406036377,-3.291435956954956
186,-6.538201332092285,-3.377405881881714
187,-6.443241596221924,-3.221379280090332
188,-6.775254249572754,-3.2998244762420654
189,-7.122983932495117,-3.406334400177002
190,-6.454378128051758,-3.568007469177246
191,-7.400464057922363,-3.870870351791382
192,-6.214897155761719,-3.4984662532806396
193,-6.714669227600098,-3.6262218952178955
194,-6.650967121124268,-3.5776140689849854
195,-6.230618953704834,-3.5998377799987793
196,-6.495632171630859,-3.375943899154663
197,-6.381514549255371,-3.685319662094116
198,-6.425746440887451,-3.8918700218200684
199,-6.3478851318359375,-3.324298858642578
200,-7.138113021850586,-3.7211172580718994
201,-6.416558742523193,-3.32765793800354
202,-6.700278282165527,-4.041133880615234
203,-7.02944803237915,-3.206313133239746
204,-6.104622840881348,-3.3075873851776123
205,-6.659188270568848,-3.7276456356048584
206,-6.191041946411133,-3.6878979206085205
207,-7.059074401855469,-3.363950490951538
208,-6.260867118835449,-3.427399158477783
209,-6.361332893371582,-3.8806214332580566
210,-6.24314546585083,-3.9049463272094727
211,-7.067400932312012,-3.7090086936950684
212,-6.621844291687012,-3.824220657348633
213,-7.032425403594971,-3.5788168907165527
214,-6.573385715484619,-3.4200050830841064
215,-6.306171417236328,-3.7277371883392334
216,-6.50749397277832,-3.93279767036438
217,-6.693954944610596,-4.160464286804199
218,-6.280109882354736,-4.476646900177002
219,-6.942829132080078,-3.632424831390381
220,-6.731054306030273,-4.138155460357666
221,-6.744280815124512,-3.890469789505005
222,-6.1953229904174805,-3.465714931488037
223,-6.709857940673828,-3.922914743423462
224,-6.165440082550049,-3.7661008834838867
225,-6.5483598709106445,-4.136849880218506
226,-7.046968460083008,-3.775926113128662
227,-6.534639358520508,-4.025285243988037
228,-6.5020647048950195,-3.5508570671081543
229,-7.064486503601074,-3.394125461578369
230,-6.955928325653076,-3.5098495483398438
231,-6.501353740692139,-3.5825958251953125
232,-6.903533458709717,-3.4296817779541016
233,-7.037184715270996,-3.6370134353637695
234,-6.727027416229248,-3.668447971343994
235,-6.534226417541504,-4.092209815979004
236,-6.765600681304932,-3.7072620391845703
237,-6.548616409301758,-3.487375020980835
238,-6.453604698181152,-3.5339436531066895
239,-7.027586460113525,-3.378974437713623
240,-6.560606479644775,-3.645692825317383
241,-6.682560920715332,-3.8025970458984375
242,-6.530566215515137,-3.9771568775177
243,-7.095055103302002,-3.578692674636841
244,-6.810298442840576,-3.6065452098846436
245,-6.664763927459717,-3.2972655296325684
246,-6.718369960784912,-3.5095229148864746
247,-6.392607688903809,-3.551206350326538
248,-6.507775783538818,-3.038149118423462
249,-6.762871742248535,-3.90588116645813
250,-6.548801898956299,-3.3396897315979004
251,-6.289008617401123,-3.892484426498413
252,-7.047135353088379,-3.854631185531616
253,-6.699948310852051,-3.541947364807129
254,-6.54158353805542,-3.3509132862091064
255,-6.789909362792969,-3.3230018615722656
256,-7.403170585632324,-3.759014844894409
257,-6.381160736083984,-3.1574268341064453
258,-6.550736904144287,-3.640913963317871
259,-6.458158493041992,-3.486832618713379
260,-7.163962364196777,-3.882685899734497
261,-6.026052474975586,-3.317012310028076
262,-6.99800968170166,-3.6245336532592773
263,-6.204020023345947,-3.8576862812042236
264,-6.425004005432129,-3.7755930423736572
265,-6.910017490386963,-3.66973614692688
266,-6.662224769592285,-3.6606016159057617
267,-7.128566741943359,-3.897120475769043
268,-7.643378257751465,-2.8957104682922363
269,-6.46018648147583,-3.556798219680786
270,-7.212264060974121,-3.8941380977630615
271,-6.737264156341553,-3.4245216846466064
272,-6.334645748138428,-3.5247108936309814
273,-7.303475379943848,-3.6452653408050537
274,-6.302593231201172,-4.164741516113281
275,-6.610610485076904,-3.3809566497802734
276,-6.841979026794434,-3.6908888816833496
277,-6.638123035430908,-3.7443621158599854
278,-6.905141830444336,-3.2544593811035156
279,-7.095959663391113,-3.2252631187438965
280,-6.378427982330322,-4.026158332824707
281,-7.004607677459717,-4.183108329772949
282,-6.794515132904053,-4.136602878570557
283,-6.39545202255249,-3.723720073699951
284,-6.59239387512207,-3.6862313747406006
285,-6.168368339538574,-3.6494462490081787
286,-6.513723850250244,-3.4808506965637207
287,-5.833353042602539,-3.3700077533721924
288,-6.392262935638428,-3.5547332763671875
289,-6.723927021026611,-3.4256393909454346
290,-6.708380699157715,-3.6260459423065186
291,-6.095303535461426,-3.4952540397644043
292,-6.839514255523682,-3.725971221923828
293,-6.581775188446045,-3.8720643520355225
294,-6.902517318725586,-3.453082799911499
295,-6.808314800262451,-3.3754160404205322
296,-6.538262367248535,-3.570711135864258
297,-6.675652503967285,-3.3247978687286377
298,-6.547977924346924,-3.386427879333496
299,-6.711605072021484,-3.834657907485962
300,-6.358889102935791,-4.127241611480713
301,-6.864286422729492,-3.754642963409424
302,-6.137219429016113,-3.9138596057891846
303,-7.5695343017578125,-3.482787609100342
304,-6.904758453369141,-3.582333564758301
305,-5.722270488739014,-3.133002519607544
306,-6.617378234863281,-3.9644815921783447
307,-6.0158185958862305,-3.7220661640167236
308,-6.3297929763793945,-3.6661794185638428
309,-6.232785701751709,-3.644376516342163
310,-6.8505096435546875,-3.441972494125366
311,-6.893467426300049,-3.6691319942474365
312,-6.537009239196777,-3.656816244125366
313,-6.548261642456055,-3.2583603858947754
314,-7.147586345672607,-3.6502556800842285
315,-6.1915154457092285,-4.06016206741333
316,-6.335538864135742,-3.598055362701416
317,-6.939634799957275,-3.676072597503662
318,-6.129349231719971,-3.257645606994629
319,-6.731063365936279,-3.610422134399414
320,-6.535093307495117,-3.5928561687469482
321,-6.213926315307617,-4.0682373046875
322,-6.00629997253418,-3.714186906814575
323,-7.041879653930664,-3.563260316848755
324,-6.4411516189575195,-3.9227235317230225
325,-6.4657440185546875,-3.4199249744415283
326,-6.407690525054932,-3.910144090652466
327,-6.90000581741333,-3.5978269577026367
328,-6.9618940353393555,-3.7905259132385254
329,-6.203526020050049,-3.8663389682769775
331,-6.0593976974487305,-3.9979376792907715
332,-7.078915119171143,-3.742429494857788
333,-6.7297210693359375,-3.6775059700012207
334,-6.088144302368164,-3.4296419620513916
335,-6.390127182006836,-4.021796703338623
336,-6.755037307739258,-3.9092798233032227
337,-6.809168338775635,-3.795759916305542
338,-6.442142963409424,-3.6127359867095947
339,-6.484807014465332,-3.542752504348755
340,-6.303275108337402,-3.502256393432617
341,-6.896507263183594,-3.6396822929382324
342,-6.452404975891113,-3.2660253047943115
343,-6.249838352203369,-2.93583345413208
344,-6.63585901260376,-3.4816763401031494
345,-6.805550575256348,-3.928784132003784
346,-6.448816776275635,-3.7923104763031006
347,-6.4997878074646,-4.011505603790283
348,-6.056468963623047,-3.897106409072876
349,-6.258746147155762,-3.7559030055999756
350,-6.187484264373779,-4.350226402282715
351,-6.921539306640625,-3.564284563064575
352,-7.150952339172363,-3.6639678478240967
353,-6.145847797393799,-3.5975592136383057
354,-6.662314414978027,-3.436277151107788
355,-6.835724353790283,-3.0363738536834717
356,-6.23838996887207,-3.818171501159668
357,-7.850176811218262,-3.538607358932495
358,-7.132522106170654,-3.8254387378692627
359,-7.492722988128662,-3.83217453956604
360,-6.558927536010742,-3.521937608718872
361,-5.8425517082214355,-3.8352324962615967
362,-6.251101970672607,-3.4973626136779785
363,-6.987379550933838,-3.8700690269470215
364,-6.542287349700928,-3.742586851119995
365,-6.413425922393799,-3.6838841438293457
366,-5.929801940917969,-3.6742568016052246
