id,fluency,method
0,0.9598606279347133,UniEval-fluency
1,0.9490548080457947,UniEval-fluency
2,0.9439187407542445,UniEval-fluency
3,0.9437861703641066,UniEval-fluency
4,0.9395270714165717,UniEval-fluency
5,0.9528535976580784,UniEval-fluency
6,0.9618282408646076,UniEval-fluency
7,0.9586862419355702,UniEval-fluency
8,0.9544951655036743,UniEval-fluency
9,0.957136931308827,UniEval-fluency
10,0.9582128580740172,UniEval-fluency
11,0.9531875039951259,UniEval-fluency
12,0.9574755139580217,UniEval-fluency
13,0.9591789631432202,UniEval-fluency
14,0.9619547862454993,UniEval-fluency
15,0.96018078394094,UniEval-fluency
16,0.9563177874739683,UniEval-fluency
17,0.9550808260915336,UniEval-fluency
18,0.9590630418504212,UniEval-fluency
19,0.9598607612827875,UniEval-fluency
20,0.9610840947829361,UniEval-fluency
21,0.9471161984947667,UniEval-fluency
22,0.9399236880064478,UniEval-fluency
23,0.9553949970862521,UniEval-fluency
24,0.960466184378179,UniEval-fluency
25,0.9565001665034567,UniEval-fluency
26,0.9531585377077948,UniEval-fluency
27,0.9545243076852223,UniEval-fluency
28,0.9546443013513014,UniEval-fluency
29,0.9629733789595143,UniEval-fluency
30,0.9555888863886195,UniEval-fluency
31,0.9581705720626612,UniEval-fluency
32,0.9578690898274195,UniEval-fluency
33,0.9625410400644454,UniEval-fluency
34,0.9582241419258474,UniEval-fluency
35,0.959049180197642,UniEval-fluency
36,0.9537627255803761,UniEval-fluency
37,0.9595559135413397,UniEval-fluency
38,0.953609863328107,UniEval-fluency
39,0.9582466099158687,UniEval-fluency
40,0.9589125431984351,UniEval-fluency
41,0.9577042460823733,UniEval-fluency
42,0.9508930358414514,UniEval-fluency
43,0.9520391662821813,UniEval-fluency
44,0.9593416957212121,UniEval-fluency
45,0.9544965948304025,UniEval-fluency
46,0.9575160056385618,UniEval-fluency
48,0.9608513978700658,UniEval-fluency
49,0.9579609217888834,UniEval-fluency
50,0.9515237143035038,UniEval-fluency
51,0.9607209451751483,UniEval-fluency
52,0.961039613354415,UniEval-fluency
53,0.9564227877167671,UniEval-fluency
54,0.9586169954638645,UniEval-fluency
55,0.8869374172366568,UniEval-fluency
56,0.7857252736164416,UniEval-fluency
57,0.9628803294769935,UniEval-fluency
58,0.9584947700651075,UniEval-fluency
59,0.9616892041262031,UniEval-fluency
60,0.9473628952270982,UniEval-fluency
61,0.9590306990710424,UniEval-fluency
62,0.9572257888365192,UniEval-fluency
63,0.958008425476916,UniEval-fluency
64,0.9531559350114364,UniEval-fluency
65,0.8337128726137181,UniEval-fluency
66,0.9521528682276467,UniEval-fluency
67,0.9576107519513748,UniEval-fluency
68,0.959196057656929,UniEval-fluency
