id,fluency,method
0,0.9577097446055918,UniEval-fluency
1,0.950401502662545,UniEval-fluency
2,0.9559490987761057,UniEval-fluency
3,0.9295004466273341,UniEval-fluency
4,0.9491439962246554,UniEval-fluency
5,0.9545629941860715,UniEval-fluency
6,0.9578794464180218,UniEval-fluency
7,0.9563859815173618,UniEval-fluency
8,0.9603643427524557,UniEval-fluency
9,0.9599106248379391,UniEval-fluency
10,0.9621650178773975,UniEval-fluency
11,0.9586329895755624,UniEval-fluency
12,0.9541025291160136,UniEval-fluency
13,0.9468773626289014,UniEval-fluency
14,0.9589610569586189,UniEval-fluency
15,0.9591209446681476,UniEval-fluency
16,0.9534726520620249,UniEval-fluency
17,0.9466092333888599,UniEval-fluency
18,0.9569567679557339,UniEval-fluency
19,0.9594886444815122,UniEval-fluency
20,0.9526777856875595,UniEval-fluency
21,0.9571018060893611,UniEval-fluency
22,0.9539480102713866,UniEval-fluency
23,0.9568735554185359,UniEval-fluency
24,0.9212822911364119,UniEval-fluency
25,0.9511162560632966,UniEval-fluency
26,0.9572624198137436,UniEval-fluency
27,0.9519855769235537,UniEval-fluency
28,0.9585772819878825,UniEval-fluency
29,0.962479259689899,UniEval-fluency
30,0.959567855901829,UniEval-fluency
31,0.8284729594164586,UniEval-fluency
32,0.954679769392368,UniEval-fluency
33,0.9627736047345652,UniEval-fluency
34,0.9550342240951024,UniEval-fluency
35,0.9554795198894744,UniEval-fluency
36,0.957587423836169,UniEval-fluency
37,0.955366693678466,UniEval-fluency
38,0.9611217083855752,UniEval-fluency
39,0.9592888797519761,UniEval-fluency
40,0.9610331369246812,UniEval-fluency
41,0.9310148831590184,UniEval-fluency
42,0.9533233911775458,UniEval-fluency
43,0.9545516588104623,UniEval-fluency
44,0.960454783290701,UniEval-fluency
45,0.9523433054885025,UniEval-fluency
46,0.9592281138763359,UniEval-fluency
48,0.9607763339242852,UniEval-fluency
49,0.9579734163259392,UniEval-fluency
50,0.9588832291650243,UniEval-fluency
51,0.9587095426306608,UniEval-fluency
52,0.9593230596609953,UniEval-fluency
53,0.8835876878644308,UniEval-fluency
54,0.9410972093302215,UniEval-fluency
55,0.9532728242889059,UniEval-fluency
56,0.7734992038533944,UniEval-fluency
57,0.9576082276155886,UniEval-fluency
58,0.9571694054879365,UniEval-fluency
59,0.9605691341145519,UniEval-fluency
60,0.9554124935385658,UniEval-fluency
61,0.9609308143607685,UniEval-fluency
62,0.9562153600126121,UniEval-fluency
63,0.9617165841044083,UniEval-fluency
64,0.9561530160057364,UniEval-fluency
65,0.838394944320256,UniEval-fluency
66,0.9498828574845978,UniEval-fluency
67,0.9573254060165518,UniEval-fluency
68,0.956963023867888,UniEval-fluency
69,0.9614560999425142,UniEval-fluency
70,0.9310605771996525,UniEval-fluency
71,0.9259208092561799,UniEval-fluency
72,0.9561879680628793,UniEval-fluency
73,0.95434639314153,UniEval-fluency
74,0.9553668785967114,UniEval-fluency
75,0.9137495724441348,UniEval-fluency
76,0.9609114609426239,UniEval-fluency
77,0.9605207012136898,UniEval-fluency
78,0.9532210080332307,UniEval-fluency
79,0.9532119592038129,UniEval-fluency
80,0.9594385442631422,UniEval-fluency
81,0.952490369547754,UniEval-fluency
82,0.9572086377720724,UniEval-fluency
83,0.889001054202608,UniEval-fluency
84,0.960664794706567,UniEval-fluency
85,0.8406423810516932,UniEval-fluency
86,0.9456662021175387,UniEval-fluency
87,0.9562849596710189,UniEval-fluency
88,0.9576279917511,UniEval-fluency
89,0.9509766556747723,UniEval-fluency
90,0.9630505727213365,UniEval-fluency
91,0.9120583905479914,UniEval-fluency
92,0.9340029928315595,UniEval-fluency
93,0.9530244244621991,UniEval-fluency
94,0.9578934706069218,UniEval-fluency
95,0.9590299846118714,UniEval-fluency
96,0.9519085082604759,UniEval-fluency
97,0.9585030771339111,UniEval-fluency
98,0.9585550098072212,UniEval-fluency
99,0.9557884438660534,UniEval-fluency
100,0.946222073096128,UniEval-fluency
101,0.9587056996975182,UniEval-fluency
102,0.9571236166002731,UniEval-fluency
103,0.9577644995590973,UniEval-fluency
104,0.8854926407082022,UniEval-fluency
105,0.9563954571381404,UniEval-fluency
106,0.9577893485446408,UniEval-fluency
107,0.9581598974770031,UniEval-fluency
108,0.9507609770065405,UniEval-fluency
109,0.9577611551294728,UniEval-fluency
110,0.8722003186390431,UniEval-fluency
111,0.958913999401334,UniEval-fluency
112,0.9583305406590061,UniEval-fluency
113,0.9193190501985903,UniEval-fluency
114,0.9582483575658264,UniEval-fluency
115,0.9610066631955549,UniEval-fluency
116,0.9580023552298014,UniEval-fluency
117,0.9579712312990699,UniEval-fluency
118,0.9006793862706894,UniEval-fluency
119,0.918305001806762,UniEval-fluency
120,0.9597139634120341,UniEval-fluency
121,0.9041704385658905,UniEval-fluency
122,0.9589014545587756,UniEval-fluency
123,0.9557497603060133,UniEval-fluency
124,0.9590909246602612,UniEval-fluency
125,0.858408222780443,UniEval-fluency
126,0.9591490090000908,UniEval-fluency
127,0.9165187352650025,UniEval-fluency
128,0.9579136795874468,UniEval-fluency
129,0.9607108390832374,UniEval-fluency
130,0.9549652048513229,UniEval-fluency
131,0.9561400433420341,UniEval-fluency
132,0.9561612856598113,UniEval-fluency
133,0.9557772289567578,UniEval-fluency
134,0.9574126259044036,UniEval-fluency
135,0.9561628583140459,UniEval-fluency
136,0.9579598079811491,UniEval-fluency
137,0.869292867882635,UniEval-fluency
138,0.9515990332914291,UniEval-fluency
139,0.8531430516877146,UniEval-fluency
140,0.9536711969253193,UniEval-fluency
141,0.9551661118144935,UniEval-fluency
142,0.9640604639972633,UniEval-fluency
143,0.9531541503922063,UniEval-fluency
144,0.9601389640659906,UniEval-fluency
145,0.9529503422254014,UniEval-fluency
146,0.8480304433291814,UniEval-fluency
147,0.9604638123604606,UniEval-fluency
148,0.9526822287859347,UniEval-fluency
149,0.9480893810654305,UniEval-fluency
150,0.9610816785461664,UniEval-fluency
151,0.8122518395311058,UniEval-fluency
152,0.9191750487943922,UniEval-fluency
153,0.9426390502974427,UniEval-fluency
154,0.9544929381163887,UniEval-fluency
155,0.9529300101083814,UniEval-fluency
156,0.9572346213555978,UniEval-fluency
157,0.960896332724537,UniEval-fluency
158,0.9612980883441925,UniEval-fluency
159,0.959852442112728,UniEval-fluency
160,0.8739135131374504,UniEval-fluency
161,0.9589488207309982,UniEval-fluency
162,0.956037510859775,UniEval-fluency
163,0.9557628552219138,UniEval-fluency
164,0.9484581079264444,UniEval-fluency
165,0.9609863774620083,UniEval-fluency
166,0.9630559013396036,UniEval-fluency
167,0.9602969720421651,UniEval-fluency
